word,translation,pronunciation,category,example,exampleTranslation
le transport,transportation,/lə tʁɑ̃sˈpɔːʁ/,Les Transports - Transportation  ,Le transport en la voiture est rapide.,Transportation by car is fast.
la voiture,car,/la vwaˈtyːʁ/,Les Transports - Transportation  ,La voiture suit le bateau le long de la côte.,The car follows the boat along the coast.
le bus,bus,/lə bys/,Les Transports - Transportation  ,Le bus s’arrête près de la gare pour le train.,The bus stops near the station for the train.
le train,train,/lə tʁɛ̃/,Les Transports - Transportation  ,Le bus s’arrête près de la gare pour le train.,The bus stops near the station for the train.
l’avion,airplane,/laˈvjɔ̃/,Les Transports - Transportation  ,L’avion décolle après le bateau sur l’eau.,The airplane takes off after the boat on the water.
le bateau,boat,/lə baˈto/,Les Transports - Transportation  ,L’avion décolle après le bateau sur l’eau.,The airplane takes off after the boat on the water.
le vélo,bicycle,/lə veˈlo/,Les Transports - Transportation  ,Le vélo est utilisé dans la gare pour se déplacer.,The bicycle is used in the station to move around.
la gare,station,/la ɡaːʁ/,Les Transports - Transportation  ,Le bus s’arrête près de la gare pour le train.,The bus stops near the station for the train.
Apprends chaque jour,Learn every day,/a.pʁɑ̃.ʃak.ʒuʁ/,Les Transports - Transportation (Phrases),Apprends chaque jour quelque chose de nouveau.,Learn something new every day.
Apprends avec passion,Learn with passion,/a.pʁɑ̃.a.vɛk.pa.sjɔ̃/,Les Transports - Transportation (Phrases),Pour progresser, apprends avec passion.,To progress, learn with passion.
Apprends des autres,Learn from others,/a.pʁɑ̃.dez.o.tʁə/,Les Transports - Transportation (Phrases),Apprends des autres et partage ton savoir.,Learn from others and share your knowledge.
Apprends en silence,Learn in silence,/a.pʁɑ̃.ɑ̃.si.lɑ̃s/,Les Transports - Transportation (Phrases),À l’école, apprends en silence pour mieux comprendre.,At school, learn in silence to understand better.
Apprends sans hâte,Learn without haste,/a.pʁɑ̃.sɑ̃.ɑt/,Les Transports - Transportation (Phrases),Apprends sans hâte, mais avec constance.,Learn without haste, but with consistency.
Apprends par cœur,Learn by heart,/a.pʁɑ̃.paʁ.kœʁ/,Les Transports - Transportation (Phrases),Apprends par cœur ce poème pour demain.,Learn this poem by heart for tomorrow.
Apprends à voler,Learn to fly,/a.pʁɑ̃.a.vɔ.le/,Les Transports - Transportation (Phrases),Avec courage, apprends à voler vers tes rêves.,With courage, learn to fly toward your dreams.
Apprends la sagesse,Learn wisdom,/a.pʁɑ̃.la.sa.ʒɛs/,Les Transports - Transportation (Phrases),Apprends la sagesse à travers l’expérience.,Learn wisdom through experience.
