word,translation,pronunciation,category,example,exampleTranslation
le voyage,travel/trip,/lə vwaˈjaːʒ/,Le Voyage - Travel,Le voyage à la plage nécessite le billet d’avion.,The trip to the beach requires an airplane ticket.
l’avion,airplane,/laˈvjɔ̃/,Le Voyage - Travel,Le billet pour l’avion est dans la valise.,The ticket for the airplane is in the suitcase.
le train,train,/lə tʁɛ̃/,Le Voyage - Travel,Nous prenons le train avec la carte pour visiter le musée.,We take the train with the map to visit the museum.
l’hôtel,hotel,/loˈtɛl/,Le Voyage - Travel,J’ai oublié mon passeport dans la valise à l’hôtel.,I forgot my passport in the suitcase at the hotel.
le passeport,passport,/lə pasˈpɔːʁ/,Le Voyage - Travel,J’ai oublié mon passeport dans la valise à l’hôtel.,I forgot my passport in the suitcase at the hotel.
la valise,suitcase,/la vaˈliz/,Le Voyage - Travel,Le billet pour l’avion est dans la valise.,The ticket for the airplane is in the suitcase.
la carte,map,/la kaʁt/,Le Voyage - Travel,Nous prenons le train avec la carte pour visiter le musée.,We take the train with the map to visit the museum.
le billet,ticket,/lə biˈjɛ/,Le Voyage - Travel,Le voyage à la plage nécessite le billet d’avion.,The trip to the beach requires an airplane ticket.
Regarde devant,Look ahead,/ʁə.ɡaʁd.də.vɑ̃/,Le Voyage - Travel (Phrases),Regarde devant pour voir la plage.,Look ahead to see the beach.
Regarde autour,Look around,/ʁə.ɡaʁd.o.tuʁ/,Le Voyage - Travel (Phrases),Regarde autour dans le musée.,Look around in the museum.
Regarde bien,Look closely,/ʁə.ɡaʁd.bjɛ̃/,Le Voyage - Travel (Phrases),Regarde bien la carte avant de partir.,Look closely at the map before leaving.
Regarde là-haut,Look up there,/ʁə.ɡaʁd.la.o/,Le Voyage - Travel (Phrases),Regarde là-haut, l’avion passe !,Look up there, the airplane is passing!
Regarde derrière,Look behind,/ʁə.ɡaʁd.de.ʁjɛʁ/,Le Voyage - Travel (Phrases),Regarde derrière pour vérifier la valise.,Look behind to check the suitcase.
Regarde ça,Look at this,/ʁə.ɡaʁd.sa/,Le Voyage - Travel (Phrases),Regarde ça, le billet est déjà prêt.,Look at this, the ticket is already ready.
Regarde dehors,Look outside,/ʁə.ɡaʁd.də.ɔʁ/,Le Voyage - Travel (Phrases),Regarde dehors depuis l’hôtel.,Look outside from the hotel.
Regarde attentivement,Look carefully,/ʁə.ɡaʁd.a.tɑ̃.tiv.mɑ̃/,Le Voyage - Travel (Phrases),Regarde attentivement le passeport.,Look carefully at the passport.
