word,translation,pronunciation,category,example,exampleTranslation
la famille,family,/la faˈmiːj/,La Famille - Family,La famille se réunit chaque dimanche.,The family gathers every Sunday.
le père,father,/lə pɛːʁ/,La Famille - Family,Le père et la mère préparent le dîner pour l'enfant.,The father and mother prepare dinner for the child.
la mère,mother,/la mɛːʁ/,La Famille - Family,Le père et la mère préparent le dîner pour l'enfant.,The father and mother prepare dinner for the child.
le frère,brother,/lə fʁɛːʁ/,La Famille - Family,Le frère joue avec la sœur dans le jardin.,The brother plays with the sister in the garden.
la sœur,sister,/la sœːʁ/,La Famille - Family,Le frère joue avec la sœur dans le jardin.,The brother plays with the sister in the garden.
l'enfant,child,/lɑ̃ˈfɑ̃/,La Famille - Family,Le père et la mère préparent le dîner pour l'enfant.,The father and mother prepare dinner for the child.
le grand-père,grandfather,/lə ɡʁɑ̃ pɛːʁ/,La Famille - Family,Le grand-père raconte des histoires à l'enfant.,The grandfather tells stories to the child.
la grand-mère,grandmother,/la ɡʁɑ̃ mɛːʁ/,La Famille - Family,La grand-mère aide la mère à organiser une fête pour la famille.,The grandmother helps the mother organize a party for the family.
Allons-y,Let's go,/a.lɔ̃.zi/,La Famille - Family (Phrases),Allons-y pour commencer la réunion.,Let's go to start the meeting.
Allons voir,Let's see,/a.lɔ̃.vwaʁ/,La Famille - Family (Phrases),Allons voir ce qui se passe dehors.,Let's see what's happening outside.
Allons manger,Let's eat,/a.lɔ̃.mɑ̃.ʒe/,La Famille - Family (Phrases),Allons manger dans ce nouveau restaurant.,Let's eat at this new restaurant.
Allons danser,Let's dance,/a.lɔ̃.dɑ̃.se/,La Famille - Family (Phrases),Allons danser à la fête ce soir.,Let's dance at the party tonight.
Allons parler,Let's talk,/a.lɔ̃.paʁ.le/,La Famille - Family (Phrases),Allons parler de tes projets.,Let's talk about your plans.
Allons jouer,Let's play,/a.lɔ̃.ʒwe/,La Famille - Family (Phrases),Allons jouer au parc avec les enfants.,Let's play at the park with the kids.
Allons explorer,Let's explore,/a.lɔ̃.ɛks.plɔ.ʁe/,La Famille - Family (Phrases),Allons explorer la forêt ce weekend.,Let's explore the forest this weekend.
Allons apprendre,Let's learn,/a.lɔ̃.a.pʁɑ̃.dʁə/,La Famille - Family (Phrases),Allons apprendre une nouvelle langue ensemble.,Let's learn a new language together.
