"word","translation","pronunciation","category","example","exampleTranslation"
"l’école","school","/leˈkɔl/","L’École - School  ","L’école a une nouvelle classe avec le tableau.","The school has a new classroom with the blackboard."
"l’horloge","clock","/lɔˈʁlɔʒ/","L’École - School  ","L’horloge indique l’heure dans la classe.","The clock shows the time in the classroom."
"la classe","classroom","/la klas/","L’École - School  ","L’école a une nouvelle classe avec le tableau.","The school has a new classroom with the blackboard."
"la règle","ruler","/la ʁɛɡl/","L’École - School  ","La règle est utilisée avec le sac à l’école.","The ruler is used with the backpack at school."
"le bureau","desk","/lə byˈʁo/","L’École - School  ","Le bureau dans la classe a un crayon.","The desk in the classroom has a pencil."
"le crayon","pencil","/lə kʁɛˈjɔ̃/","L’École - School  ","Le crayon est sur le bureau près de la règle.","The pencil is on the desk next to the ruler."
"le sac","backpack","/lə sak/","L’École - School  ","La règle est utilisée avec le sac à l’école.","The ruler is used with the backpack at school."
"le tableau","blackboard","/lə taˈblo/","L’École - School  ","L’école a une nouvelle classe avec le tableau.","The school has a new classroom with the blackboard."
"Partage avec générosité","Share with generosity","/paʁ.taʒ.a.vɛk.ʒe.ne.ʁo.zi.te/","L’École - School (Phrases)","Partage avec générosité pour inspirer les autres.","Share with generosity to inspire others."
"Partage en toute simplicité","Share with complete simplicity","/paʁ.taʒ.ɑ̃.tut.sɛ̃.pli.si.te/","L’École - School (Phrases)","Partage en toute simplicité ce que tu as.","Share with complete simplicity what you have."
"Partage la joie","Share the joy","/paʁ.taʒ.la.ʒwa/","L’École - School (Phrases)","Partage la joie pour rendre la journée plus belle.","Share the joy to make the day brighter."
"Partage tes idées","Share your ideas","/paʁ.taʒ.tez.i.de/","L’École - School (Phrases)","N’aie pas peur de partage tes idées en classe.","Don’t be afraid to share your ideas in class."
"Partage tes talents","Share your talents","/paʁ.taʒ.te.ta.lɑ̃/","L’École - School (Phrases)","Partage tes talents pour aider la communauté.","Share your talents to help the community."
"Partage ton sourire","Share your smile","/paʁ.taʒ.tɔ̃.su.ʁiʁ/","L’École - School (Phrases)","Toujours partage ton sourire avec le monde.","Always share your smile with the world."
"Partage un moment","Share a moment","/paʁ.taʒ.œ̃.mo.mɑ̃/","L’École - School (Phrases)","Partage un moment de bonheur avec ta famille.","Share a happy moment with your family."
"Partage un repas","Share a meal","/paʁ.taʒ.œ̃.ʁə.pa/","L’École - School (Phrases)","Nous aimons partage un repas entre amis.","We like to share a meal with friends."
"l’école","school","/leˈkɔl/","L’Éducation - Education","L’école organise une visite à la bibliothèque pour les étudiants.","The school organizes a visit to the library for the students."
"l’étudiant","student (male)","/letyˈdjɑ̃/","L’Éducation - Education","Le livre sur la table aide l’étudiant à préparer la leçon.","The book on the table helps the student prepare the lesson."
"l’examen","exam","/lɛɡzaˈmɛ̃/","L’Éducation - Education","La bibliothèque est calme pendant l’examen.","The library is quiet during the exam."
"la leçon","lesson","/la ləˈsɔ̃/","L’Éducation - Education","Le professeur donne la leçon avec un stylo rouge.","The teacher gives the lesson with a red pen."
"le livre","book","/lə liːvʁ/","L’Éducation - Education","Le livre sur la table aide l’étudiant à préparer la leçon.","The book on the table helps the student prepare the lesson."
"le professeur","teacher","/lə pʁoˈfɛsœːʁ/","L’Éducation - Education","Le professeur donne la leçon avec un stylo rouge.","The teacher gives the lesson with a red pen."
"le stylo","pen","/lə stiˈlo/","L’Éducation - Education","Le professeur donne la leçon avec un stylo rouge.","The teacher gives the lesson with a red pen."
"tableau noir","blackboard","/ta.blo nwaʁ/","L’Éducation - Education","Le professeur écrit la leçon sur le tableau noir.","The teacher writes the lesson on the blackboard."
"Écoute attentivement","Listen attentively","/e.kut.a.tɑ̃.tiv.mɑ̃/","L’Éducation - Education (Phrases)","Écoute attentivement les conseils du professeur.","Listen attentively to the teacher’s advice."
"Écoute bien","Listen carefully","/e.kut.bjɛ̃/","L’Éducation - Education (Phrases)","Écoute bien la leçon à l’école.","Listen carefully to the lesson at school."
"Écoute ça","Listen to this","/e.kut.sa/","L’Éducation - Education (Phrases)","Écoute ça, le professeur explique un nouveau livre.","Listen to this, the teacher explains a new book."
"Écoute la musique","Listen to the music","/e.kut.la.my.zik/","L’Éducation - Education (Phrases)","Écoute la musique pendant la pause à la bibliothèque.","Listen to the music during the break at the library."
"Écoute le vent","Listen to the wind","/e.kut.lə.vɑ̃/","L’Éducation - Education (Phrases)","Écoute le vent dehors depuis la fenêtre de l’école.","Listen to the wind outside from the school window."
"Écoute les oiseaux","Listen to the birds","/e.kut.lez.wa.zo/","L’Éducation - Education (Phrases)","Écoute les oiseaux pendant la récréation à l’école.","Listen to the birds during recess at school."
"Écoute moi","Listen to me","/e.kut.mwa/","L’Éducation - Education (Phrases)","Écoute moi, je te donne les instructions pour l’examen.","Listen to me, I give you the instructions for the exam."
"Écoute ton cœur","Listen to your heart","/e.kut.tɔ̃.kœʁ/","L’Éducation - Education (Phrases)","Écoute ton cœur pour choisir ta matière préférée.","Listen to your heart to choose your favorite subject."
"l’assiette","plate","/laˈsjɛt/","La Cuisine - Kitchen  ","La fourchette et le couteau sont sur l’assiette.","The fork and knife are on the plate."
"la cuillère","spoon","/la kɥiˈjɛːʁ/","La Cuisine - Kitchen  ","La cuillère est sur l’assiette près de la fourchette.","The spoon is on the plate next to the fork."
"la cuisine","kitchen","/la kɥiˈzin/","La Cuisine - Kitchen  ","Dans la cuisine, je prends le couteau pour couper.","In the kitchen, I take the knife to cut."
"la fourchette","fork","/la fuʁˈʃɛt/","La Cuisine - Kitchen  ","La cuillère est sur l’assiette près de la fourchette.","The spoon is on the plate next to the fork."
"la poêle","frying pan","/la pwal/","La Cuisine - Kitchen  ","J’utilise la poêle dans le four pour cuisiner.","I use the frying pan in the oven to cook."
"le couteau","knife","/lə kuˈto/","La Cuisine - Kitchen  ","La fourchette et le couteau sont sur l’assiette.","The fork and knife are on the plate."
"le four","oven","/lə fuːʁ/","La Cuisine - Kitchen  ","J’utilise la poêle dans le four pour cuisiner.","I use the frying pan in the oven to cook."
"le verre","glass","/lə vɛːʁ/","La Cuisine - Kitchen  ","Le verre d’eau est posé dans la cuisine.","The glass of water is placed in the kitchen."
"Marche avec confiance","Walk with confidence","/maʁʃ.a.vɛk.kɔ̃.fjɑ̃s/","La Cuisine - Kitchen (Phrases)","Marche avec confiance vers tes rêves.","Walk with confidence toward your dreams."
"Marche dans la forêt","Walk in the forest","/maʁʃ.dɑ̃.la.fɔ.ʁɛ/","La Cuisine - Kitchen (Phrases)","Nous allons marche dans la forêt au printemps.","We are going to walk in the forest in spring."
"Marche en chantant","Walk while singing","/maʁʃ.ɑ̃.ʃɑ̃.tɑ̃/","La Cuisine - Kitchen (Phrases)","Il marche en chantant une belle mélodie.","He walks while singing a beautiful melody."
"Marche lentement","Walk slowly","/maʁʃ.lɑ̃t.mɑ̃/","La Cuisine - Kitchen (Phrases)","Marche lentement pour profiter du paysage.","Walk slowly to enjoy the scenery."
"Marche pieds nus","Walk barefoot","/maʁʃ.pje.ny/","La Cuisine - Kitchen (Phrases)","Elle aime marche pieds nus sur la plage.","She likes to walk barefoot on the beach."
"Marche sous la lune","Walk under the moon","/maʁʃ.su.la lyn/","La Cuisine - Kitchen (Phrases)","Ils aiment marche sous la lune le soir.","They like to walk under the moon at night."
"Marche vers l’avant","Walk forward","/maʁʃ.vɛʁ.lɑ.vɑ̃/","La Cuisine - Kitchen (Phrases)","Même après un échec, marche vers l’avant.","Even after a failure, walk forward."
"Marche vers le sommet","Walk toward the summit","/maʁʃ.vɛʁ.lə.sɔ.mɛ/","La Cuisine - Kitchen (Phrases)","Les alpinistes marche vers le sommet de la montagne.","The climbers walk toward the summit of the mountain."
"l'enfant","child","/lɑ̃ˈfɑ̃/","La Famille - Family","Le père et la mère préparent le dîner pour l'enfant.","The father and mother prepare dinner for the child."
"la famille","family","/la faˈmiːj/","La Famille - Family","La famille se réunit chaque dimanche.","The family gathers every Sunday."
"la grand-mère","grandmother","/la ɡʁɑ̃ mɛːʁ/","La Famille - Family","La grand-mère aide la mère à organiser une fête pour la famille.","The grandmother helps the mother organize a party for the family."
"la mère","mother","/la mɛːʁ/","La Famille - Family","Le père et la mère préparent le dîner pour l'enfant.","The father and mother prepare dinner for the child."
"la sœur","sister","/la sœːʁ/","La Famille - Family","Le frère joue avec la sœur dans le jardin.","The brother plays with the sister in the garden."
"le frère","brother","/lə fʁɛːʁ/","La Famille - Family","Le frère joue avec la sœur dans le jardin.","The brother plays with the sister in the garden."
"le grand-père","grandfather","/lə ɡʁɑ̃ pɛːʁ/","La Famille - Family","Le grand-père raconte des histoires à l'enfant.","The grandfather tells stories to the child."
"le père","father","/lə pɛːʁ/","La Famille - Family","Le père et la mère préparent le dîner pour l'enfant.","The father and mother prepare dinner for the child."
"Allons apprendre","Let's learn","/a.lɔ̃.a.pʁɑ̃.dʁə/","La Famille - Family (Phrases)","Allons apprendre une nouvelle langue ensemble.","Let's learn a new language together."
"Allons danser","Let's dance","/a.lɔ̃.dɑ̃.se/","La Famille - Family (Phrases)","Allons danser à la fête ce soir.","Let's dance at the party tonight."
"Allons explorer","Let's explore","/a.lɔ̃.ɛks.plɔ.ʁe/","La Famille - Family (Phrases)","Allons explorer la forêt ce weekend.","Let's explore the forest this weekend."
"Allons jouer","Let's play","/a.lɔ̃.ʒwe/","La Famille - Family (Phrases)","Allons jouer au parc avec les enfants.","Let's play at the park with the kids."
"Allons manger","Let's eat","/a.lɔ̃.mɑ̃.ʒe/","La Famille - Family (Phrases)","Allons manger dans ce nouveau restaurant.","Let's eat at this new restaurant."
"Allons parler","Let's talk","/a.lɔ̃.paʁ.le/","La Famille - Family (Phrases)","Allons parler de tes projets.","Let's talk about your plans."
"Allons voir","Let's see","/a.lɔ̃.vwaʁ/","La Famille - Family (Phrases)","Allons voir ce qui se passe dehors.","Let's see what's happening outside."
"Allons-y","Let's go","/a.lɔ̃.zi/","La Famille - Family (Phrases)","Allons-y pour commencer la réunion.","Let's go to start the meeting."
"la chambre","bedroom","/la ʃɑ̃bʁ/","La Maison - House  ","La maison a une belle chambre avec la fenêtre.","The house has a beautiful bedroom with the window."
"la cuisine","kitchen","/la kɥiˈzin/","La Maison - House  ","La cuisine a une grande table pour les repas.","The kitchen has a large table for meals."
"la fenêtre","window","/la fəˈnɛːtʁ/","La Maison - House  ","La fenêtre éclaire le salon chaque matin.","The window lights up the living room every morning."
"la maison","house","/la mɛˈzɔ̃/","La Maison - House  ","La maison a une belle chambre avec la fenêtre.","The house has a beautiful bedroom with the window."
"la porte","door","/la pɔʁt/","La Maison - House  ","La porte mène au jardin depuis la table.","The door leads to the garden from the table."
"la table","table","/la tabl/","La Maison - House  ","La cuisine a une grande table pour les repas.","The kitchen has a large table for meals."
"le jardin","garden","/lə ʒaʁˈdɛ̃/","La Maison - House  ","La porte mène au jardin depuis la table.","The door leads to the garden from the table."
"le salon","living room","/lə saˈlɔ̃/","La Maison - House  ","Le salon est près de la cuisine dans la maison.","The living room is near the kitchen in the house."
"Découvre avec curiosité","Discover with curiosity","/de.kuvʁ.a.vɛk.ky.ʁjo.zi.te/","La Maison - House (Phrases)","Toujours découvre avec curiosité et ouverture.","Always discover with curiosity and openness."
